iter	Passed	Remaining
714	821	327
715	822	326
716	823	325
717	824	323
718	825	322
719	826	321
720	827	320
721	828	319
722	829	317
723	830	316
724	831	315
725	832	314
726	833	313
727	834	311
728	835	310
729	836	309
730	837	308
731	838	306
732	838	305
733	839	304
734	840	303
735	841	301
736	842	300
737	843	299
738	845	298
739	846	297
740	847	296
741	849	295
742	850	294
743	850	292
744	851	291
745	852	290
746	853	289
747	854	287
748	855	286
749	856	285
750	857	284
751	857	282
752	858	281
753	859	280
754	860	279
755	861	278
756	862	276
757	863	275
758	864	274
759	865	273
760	866	272
761	867	270
762	868	269
763	869	268
764	870	267
765	870	266
766	871	264
767	872	263
768	873	262
769	874	261
770	875	259
771	876	258
772	876	257
773	877	256
774	878	255
775	879	253
776	880	252
777	881	251
778	881	250
779	882	248
780	883	247
781	884	246
782	885	245
783	885	244
784	886	242
785	887	241
786	888	240
787	889	239
788	890	238
789	891	236
790	892	235
791	893	234
792	893	233
793	894	232
794	895	230
795	896	229
796	897	228
797	897	227
798	898	226
799	899	224
800	900	223
801	901	222
802	902	221
803	903	220
804	904	219
805	904	217
806	905	216
807	906	215
808	907	214
809	908	213
810	909	211
811	910	210
812	911	209
813	912	208
814	913	207
815	913	206
816	914	204
817	915	203
818	916	202
819	917	201
820	917	200
821	918	198
822	919	197
823	920	196
824	921	195
825	922	194
826	922	193
827	923	191
828	924	190
829	925	189
830	926	188
831	927	187
832	928	186
833	929	184
834	930	183
835	930	182
836	931	181
837	932	180
838	933	179
839	934	178
840	935	176
841	937	175
842	938	174
843	939	173
844	940	172
845	942	171
846	943	170
847	944	169
848	945	168
849	946	166
850	947	165
851	947	164
852	948	163
853	949	162
854	950	161
855	951	160
856	952	158
857	953	157
858	954	156
859	954	155
860	955	154
861	956	153
862	957	152
863	958	150
864	959	149
865	960	148
866	961	147
867	962	146
868	963	145
869	965	144
870	966	143
871	967	141
872	968	140
873	969	139
874	969	138
875	970	137
876	971	136
877	972	135
878	973	134
879	974	132
880	975	131
881	976	130
882	977	129
883	978	128
884	979	127
885	979	126
886	980	124
887	981	123
888	982	122
889	983	121
890	984	120
891	985	119
892	986	118
893	987	117
894	988	115
895	989	114
896	990	113
897	991	112
898	992	111
899	993	110
900	994	109
901	995	108
902	996	107
903	997	105
904	998	104
905	999	103
906	1000	102
907	1001	101
908	1002	100
909	1003	99
910	1004	98
911	1005	96
912	1006	95
913	1007	94
914	1008	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1013	88
920	1014	87
921	1015	85
922	1016	84
923	1017	83
924	1018	82
925	1019	81
926	1020	80
927	1021	79
928	1022	78
929	1023	77
930	1025	75
931	1026	74
932	1027	73
933	1028	72
934	1028	71
935	1029	70
936	1030	69
937	1031	68
938	1032	67
939	1033	65
940	1035	64
941	1036	63
942	1037	62
943	1038	61
944	1039	60
945	1040	59
946	1041	58
947	1043	57
948	1044	56
949	1045	55
950	1046	53
951	1046	52
952	1047	51
953	1048	50
954	1049	49
955	1050	48
956	1051	47
957	1052	46
958	1053	45
959	1054	43
960	1055	42
961	1057	41
962	1058	40
963	1059	39
964	1060	38
965	1061	37
966	1062	36
967	1063	35
968	1064	34
969	1065	32
970	1066	31
971	1067	30
972	1068	29
973	1069	28
974	1070	27
975	1071	26
976	1072	25
977	1073	24
978	1074	23
979	1075	21
980	1076	20
981	1077	19
982	1078	18
983	1078	17
984	1079	16
985	1080	15
986	1081	14
987	1082	13
988	1083	12
989	1084	10
990	1085	9
991	1086	8
992	1086	7
993	1087	6
994	1088	5
995	1089	4
996	1090	3
997	1091	2
998	1092	1
999	1093	0
